Date,Close_Ratio_1,Trend_1,Close_Ratio_2,Trend_2,Close_Ratio_4,Trend_4,Close_Ratio_12,Trend_12,Close_Ratio_24,Trend_24
2015-03-01,1.0,0.0,0.9906001552125848,1.0,1.011387353227225,2.0,0.9887800147456067,5.0,1.0438668561727806,15.0
2015-04-01,1.0,0.0,0.9915489487704315,0.0,0.9887719541219314,2.0,0.9704339538524545,5.0,1.0161332936111747,14.0
2015-05-01,1.0,0.0,0.9951096112393834,0.0,0.9795745870056336,1.0,0.9647996738937726,4.0,0.9985227664080866,13.0
2015-06-01,1.0,0.0,0.9889798799375266,0.0,0.9745281247157671,0.0,0.9514140954190135,3.0,0.9705347620192586,12.0
2015-07-01,1.0,1.0,1.0917007135466288,1.0,1.1294791145939491,1.0,1.133922229175246,4.0,1.1501158169600894,12.0
2015-08-01,1.0,0.0,0.9940829349633779,1.0,1.076865482536001,1.0,1.1124805293377427,4.0,1.1197412906558328,12.0
2015-09-01,1.0,0.0,0.9919864208756087,0.0,1.0256617606464795,1.0,1.089460017243412,3.0,1.0878098008079855,11.0
2015-10-01,1.0,1.0,1.0776134730238767,1.0,1.1093016749088074,2.0,1.244345866001275,4.0,1.2524532480912782,11.0
2015-11-01,1.0,1.0,1.0218727047407956,2.0,1.1083251431287184,2.0,1.2627398144898978,5.0,1.2881549099768919,11.0
2015-12-01,1.0,1.0,1.0108426241015145,2.0,1.0761545808235755,3.0,1.2490211890332026,6.0,1.2975800363869536,11.0
2016-01-01,1.0,0.0,0.9893929250742172,1.0,1.0056035739532405,3.0,1.188585150973247,5.0,1.2564961290968635,10.0
2016-02-01,1.0,0.0,0.9686406950294181,0.0,0.948637076170825,2.0,1.0957229008557396,4.0,1.172467698015395,9.0
2016-03-01,1.0,1.0,1.0327021335778597,1.0,1.0119712999723331,2.0,1.1402005409141631,5.0,1.2353542135247364,10.0
2016-04-01,1.0,0.0,0.9638793843045518,1.0,0.9629552652847685,1.0,1.0400519570592834,5.0,1.1360507547559147,10.0
2016-05-01,1.0,1.0,1.0298936542307353,1.0,1.0248758989570543,2.0,1.076731667181916,6.0,1.191629023438766,10.0
2016-06-01,1.0,0.0,0.9694499335870445,1.0,0.9660196997248734,2.0,0.9921312126030017,6.0,1.1120929957403116,9.0
2016-07-01,1.0,1.0,1.0524953889866382,1.0,1.064209111767032,2.0,1.0835340403748175,6.0,1.2190989170164188,10.0
2016-08-01,1.0,0.0,0.9988670957124793,1.0,1.0352739858974902,2.0,1.0625126457716845,6.0,1.2007098503871825,10.0
2016-09-01,1.0,1.0,1.0066306283483335,1.0,1.0345830112350423,2.0,1.0561100575006896,7.0,1.2009546575155565,10.0
2016-10-01,1.0,1.0,1.004642029604687,2.0,1.013071151067761,3.0,1.0571356677879273,7.0,1.1946982197373799,11.0
2016-11-01,1.0,0.0,0.9828209786830692,1.0,0.9822606419959548,2.0,1.0196601638044667,6.0,1.1386166473981567,11.0
2016-12-01,1.0,1.0,1.0090073493751128,1.0,0.9985735895451415,3.0,1.0366922772870306,6.0,1.1416760800812447,12.0
2017-01-01,1.0,1.0,1.0159185625934912,2.0,1.0244183095265478,3.0,1.0638204686169552,7.0,1.1597600872220812,12.0
2017-02-01,1.0,1.0,1.0163086314260223,2.0,1.0453924825808942,3.0,1.0839661861132046,8.0,1.179168575858366,12.0
2017-03-01,1.0,1.0,1.0038420478021077,2.0,1.030067873470346,4.0,1.0822794888181575,8.0,1.168523303030623,13.0
2017-04-01,1.0,1.0,1.0440213843900916,2.0,1.0799637629227143,4.0,1.1552088280715982,9.0,1.2491161536365345,14.0
2017-05-01,1.0,1.0,1.0314835172095083,2.0,1.0953147187213588,4.0,1.2010692949407613,9.0,1.298055042386176,15.0
2017-06-01,1.0,0.0,0.9700414769097807,1.0,1.0071513510518593,3.0,1.106336450923422,9.0,1.1965035746937673,15.0
2017-07-01,1.0,1.0,1.0118364853987754,1.0,1.0032210005484865,3.0,1.1145548210415095,9.0,1.2050117422674071,15.0
2017-08-01,1.0,1.0,1.004722330893174,2.0,1.0037131600237272,3.0,1.1061102012054655,10.0,1.19573046673872,16.0
2017-09-01,1.0,1.0,1.0104191043020816,2.0,1.0264255709420882,3.0,1.1096047952415122,10.0,1.1986147218892185,17.0
2017-10-01,1.0,1.0,1.029118047418747,2.0,1.0574633714849346,4.0,1.150419401761169,10.0,1.2505950837366342,17.0
2017-11-01,1.0,1.0,1.0023404596294205,2.0,1.0378890666748946,4.0,1.127807324387744,11.0,1.2387602823523012,17.0
2017-12-01,1.0,1.0,1.0120852523718695,2.0,1.0351274487143807,4.0,1.1269284129037467,11.0,1.2508934442160573,17.0
2018-01-01,1.0,1.0,1.0557405621725733,2.0,1.0999838047143005,4.0,1.2191478789933576,11.0,1.3694507390923814,18.0
2018-02-01,1.0,0.0,0.9713320893100702,1.0,1.017602837947541,3.0,1.1237237261785178,10.0,1.2679536647699488,18.0
2018-03-01,1.0,0.0,0.96586037713817,0.0,0.9481490341214216,2.0,1.0318415919649608,9.0,1.1682118347776462,17.0
2018-04-01,1.0,0.0,0.9929433165094373,0.0,0.9411465444055057,1.0,1.0080250961006345,8.0,1.1344823306673528,17.0
2018-05-01,1.0,1.0,1.032183486660699,1.0,1.0238555818281734,1.0,1.064507104339868,8.0,1.190611638944367,17.0
2018-06-01,1.0,1.0,1.013932319009116,2.0,1.0500828374620113,2.0,1.0763783487533407,9.0,1.2009979345964061,18.0
2018-07-01,1.0,1.0,1.043555025557986,2.0,1.0978100094425847,3.0,1.147945131493012,9.0,1.284541583487963,18.0
2018-08-01,1.0,1.0,1.0003818691413708,2.0,1.051049482986081,4.0,1.1241855942450627,9.0,1.2605187401559759,19.0
2018-09-01,1.0,0.0,0.9897497984031058,1.0,1.006177587750491,3.0,1.0818746276053748,8.0,1.2131713906320385,18.0
2018-10-01,1.0,0.0,0.9485957517166843,0.0,0.9152919286842951,2.0,0.9716730474110614,7.0,1.0811631383814393,17.0
2018-11-01,1.0,1.0,1.0081337454771189,1.0,0.9552375595160475,2.0,0.98221592394615,7.0,1.0836445764111435,18.0
2018-12-01,1.0,0.0,0.9723854770574443,1.0,0.9414037019281201,1.0,0.9301774515375073,6.0,1.0143649358563527,17.0
2019-01-01,1.0,1.0,1.0375282488760011,1.0,1.0329155929913085,2.0,1.0067522995833713,6.0,1.0793900991555354,17.0
2019-02-01,1.0,1.0,1.0015874315541682,2.0,1.0259599974558957,3.0,1.0088020968410194,7.0,1.0700319518243857,17.0
2019-03-01,1.0,1.0,1.0232815921738048,2.0,1.055797159754344,3.0,1.04578521868039,8.0,1.105909435212819,17.0
2019-04-01,1.0,1.0,1.0064230870887214,2.0,1.0338924065681738,4.0,1.0460091864301557,9.0,1.1079151694089386,17.0
2019-05-01,1.0,0.0,0.9629817039122137,1.0,0.9627464902062809,3.0,0.9700045845915934,8.0,1.0233012627369031,16.0
2019-06-01,1.0,0.0,0.9895996616236052,0.0,0.9510176573092206,2.0,0.9524590290950279,7.0,0.9956121985925341,16.0
