Date,Price,Open,High,Low,Vol.,Change %,Sorting order
07/18/2016,243.5,232,244,227,1.00K,-0.20%,1467
07/20/2016,243,243.5,243.5,243,0.00K,-0.21%,1466
07/21/2016,240,240,240,240,0.00K,-1.23%,1465
07/22/2016,240,238,240,236,1.03K,0.00%,1464
07/25/2016,242,236,242,230,3.10K,0.83%,1463
07/26/2016,242,233,242,233,3.40K,0.00%,1462
07/27/2016,242,234,242,234,3.71K,0.00%,1461
08/02/2016,244,235,244,235,2.98K,0.83%,1460
08/03/2016,244,235,244,235,0.50K,0.00%,1459
08/04/2016,244.9,240,245,236,3.51K,0.37%,1458
08/05/2016,243,244,244,242,1.58K,-0.78%,1457
08/09/2016,242,240,242,235.1,2.06K,-0.41%,1456
08/10/2016,246.5,243,248,242.9,56.24K,1.86%,1455
08/11/2016,248,248,250,245,0.67K,0.61%,1454
08/12/2016,248.5,242,248.5,242,0.40K,0.20%,1453
08/15/2016,248.5,249,250,241.1,2.77K,0.00%,1452
08/16/2016,245,245,245,245,2.02K,-1.41%,1451
08/18/2016,246.8,245,246.8,244,0.65K,0.73%,1450
08/19/2016,248,244,248,244,1.62K,0.49%,1449
08/22/2016,249.5,242.5,249.5,242.5,0.43K,0.60%,1448
08/23/2016,248,248,248,248,0.88K,-0.60%,1447
08/24/2016,248,248,248,248,6.00K,0.00%,1446
08/26/2016,247,247,247,247,0.00K,-0.40%,1445
08/29/2016,245,246.5,246.5,242.5,11.00K,-0.81%,1444
08/30/2016,243.5,241,245,241,4.63K,-0.61%,1443
08/31/2016,243.5,243.5,243.5,243.4,3.77K,0.00%,1442
09/01/2016,244,244,244,244,0.01K,0.21%,1441
09/02/2016,242,242,242,240,0.10K,-0.82%,1440
09/05/2016,240,240,240,240,1.05K,-0.83%,1439
09/06/2016,240,237,240,237,0.84K,0.00%,1438
09/07/2016,240,240,240,240,0.00K,0.00%,1437
09/08/2016,240,240,240,240,19.80K,0.00%,1436
09/09/2016,240,235,240,235,0.51K,0.00%,1435
09/13/2016,238.2,234.1,238.2,234.1,0.10K,-0.75%,1434
09/14/2016,234.2,234.2,234.2,234.2,0.00K,-1.68%,1433
09/15/2016,240,235,240,235,0.82K,2.48%,1432
09/19/2016,240,235,240,235,1.23K,0.00%,1431
09/20/2016,238,235,239,235,2.60K,-0.83%,1430
09/22/2016,236.7,231,236.7,230,1.35K,-0.55%,1429
