Date,Price,Open,High,Low,Vol.,Change %,Sorting order
10/24/2013,79.9,79,79.9,79,0.20K,1.52%,1458
10/25/2013,79.3,79.3,79.3,79.3,,-0.75%,1457
10/28/2013,79.8,77.3,79.8,77.1,0.29K,0.63%,1456
10/29/2013,79.9,77.1,80,76.6,0.26K,0.13%,1455
10/30/2013,79.7,77.1,79.7,77.1,0.11K,-0.25%,1454
10/31/2013,79.9,76.9,79.9,76.9,0.13K,0.25%,1453
11/01/2013,76.9,79.2,79.8,76.9,0.51K,-3.75%,1452
11/04/2013,76.6,76.8,76.8,76.6,0.07K,-0.39%,1451
11/05/2013,76.6,76.6,76.6,76.6,,0.00%,1450
11/06/2013,76.6,76.6,76.6,76.6,,0.00%,1449
11/07/2013,79.5,79.4,79.5,79.4,0.20K,3.79%,1448
11/08/2013,79.4,79.4,79.4,79.4,,-0.13%,1447
11/11/2013,79.4,79.4,79.4,79.4,,0.00%,1446
11/12/2013,79.9,76,79.9,70,0.43K,0.63%,1445
11/13/2013,79.8,73.2,79.8,73.2,0.12K,-0.13%,1444
11/14/2013,79.7,79.7,79.7,79.7,0.01K,-0.13%,1443
11/15/2013,73.6,73.6,73.6,73.6,0.00K,-7.65%,1442
11/18/2013,73.6,73.6,73.6,73.6,,0.00%,1441
11/19/2013,79,73.7,79,73.5,0.65K,7.34%,1440
11/20/2013,79.5,79,79.5,79,0.20K,0.63%,1439
11/21/2013,79,79,79,79,0.00K,-0.63%,1438
11/22/2013,79,79,79,79,,0.00%,1437
11/25/2013,79,79,79,79,,0.00%,1436
11/26/2013,79,74,79,74,0.19K,0.00%,1435
11/27/2013,78.8,78.8,78.8,78.8,,-0.25%,1434
11/28/2013,78.8,78.8,78.8,78.8,,0.00%,1433
11/29/2013,78.8,78.8,78.8,78.8,,0.00%,1432
12/02/2013,78.8,78.8,78.8,78.8,,0.00%,1431
12/03/2013,78.8,76,78.8,76,0.32K,0.00%,1430
12/04/2013,78.1,78,78.1,74.2,0.27K,-0.89%,1429
12/05/2013,77.2,77.2,77.2,77.2,,-1.15%,1428
12/06/2013,74.4,74.4,74.4,74.4,0.00K,-3.63%,1427
12/09/2013,75,75.1,75.1,75,0.15K,0.81%,1426
12/10/2013,75,75,75,75,,0.00%,1425
12/11/2013,75,75,75,75,,0.00%,1424
12/12/2013,75,75,75,75,,0.00%,1423
12/13/2013,72,72,72,72,0.60K,-4.00%,1422
12/17/2013,72,72,72,72,,0.00%,1421
12/18/2013,77.3,77,77.8,70,1.72K,7.36%,1420
12/19/2013,77.4,77,77.4,77,0.10K,0.13%,1419
12/20/2013,76,76,76,76,0.10K,-1.81%,1418
12/23/2013,77.5,77,77.5,77,0.27K,1.97%,1417
12/24/2013,77.3,77.3,77.3,77.3,,-0.26%,1416
12/26/2013,77,77.5,77.5,77,0.27K,-0.39%,1415
12/27/2013,77.5,77.5,77.5,77.5,0.00K,0.65%,1414
12/30/2013,77,77.5,77.5,77,0.41K,-0.65%,1413
12/31/2013,80,77.5,80,77.5,2.59K,3.90%,1412
01/02/2014,80.9,76.5,80.9,76.5,0.03K,1.13%,1411
01/03/2014,80.9,80.9,80.9,80.9,,0.00%,1410
